# Casos		# Procs		T_1		T_total
450		2		4.135		7.884		2
450		4		4.348		7.860		4
450		6		2.334		12.806		16
450		2		4.066		7.989		2
450		2		4.035		8.633		2
896		2		10.588		75.109		2
512		2		5.167		10.766		2
640		2		7.214		16.755		2
640		6		3.136		56.503		16
640		2		6.157		14.229		2
640		2		1.104		4.480		3
640		2		6.417		14.149		2
640		2		6.229		24.818		2
384		2		0.559		2.275		3
384		2		0.563		2.310		3
384		2		0.546		2.294		3
384		2		0.545		2.302		3
384		2		2.893		6.553		2
1470		6		3.604		16.858		15
1470		6		2.227		18.081		17
1470		18		2.139		17.461		55
